Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),CaCO3 (wt %),Corr. Counts,Density (g/cc),L*,a*,b*
189,1170,D,31,R,3,72,706.52,0.65,6.59,1.763,28.06,0.9,3.24
189,1170,D,32,R,1,72,713.12,0.79,6.39,1.739,24.8,0.79,5.95
189,1170,D,32,R,5,72,719.12,0.76,6.79,1.72,29.54,0.04,4.54
189,1170,D,33,R,3,72,725.72,0.95,7.39,1.808,30.83,0.87,2.64
189,1170,D,34,R,3,72,735.32,8.19,6.39,1.723,34.92,0.08,5.05
189,1170,D,35,R,1,72,741.92,0.58,8.99,1.725,28.41,0.97,3.41
189,1170,D,35,R,3,72,744.92,0.87,6.39,1.716,24.42,0.57,5.48
189,1170,D,35,R,5,72,747.92,3.78,6.39,1.77,27.6,0.56,5.43
189,1170,D,36,R,1,72,751.52,9.65,6.39,1.738,28.03,0.53,7.27
189,1170,D,36,R,3,72,754.52,0.52,6.59,1.8,26.82,0.91,5.23
189,1170,D,38,R,5,72,776.8,9.76,6.99,1.331,36.8,-0.09,5.72
194,1192,A,1,H,5,75,6.75,80.75,9.29,1.625,56.88,0.34,9.8
194,1192,A,2,H,2,75,11.75,78.39,16.49,1.636,60.41,0.74,11.34
194,1192,A,3,H,2,75,21.25,85.19,15.89,1.618,57.21,0.2,14.2
194,1192,A,3,H,5,75,25.75,81.78,14.49,1.6,55.1,0.26,14.41
194,1192,A,5,H,2,74,31.74,83.03,12.09,1.615,52.31,0.45,13.11
194,1192,A,5,H,5,74,36.24,84.75,9.89,1.621,54.6,-0.05,13.39
194,1192,A,6,H,2,75,41.25,79.33,7.89,1.723,56.36,0,11.33
194,1192,A,7,H,2,74,50.74,72.72,8.09,1.7,52.03,-0.43,9.75
194,1192,A,7,H,5,74,55.24,80.58,9.49,1.685,53.34,-0.3,11.5
194,1192,A,8,H,5,75,64.75,80.38,9.29,1.68,52.35,-0.3,11.16
194,1192,A,9,H,5,75,74.25,77.31,8.29,1.669,51.52,0.38,10.2
194,1192,A,12,H,2,75,89.75,80.67,6.89,1.699,53.09,-0.32,11.46
194,1192,A,12,H,5,75,94.25,85.23,6.29,1.724,57.17,-0.21,10.47
194,1192,A,26,H,2,75,214.25,90.92,7.49,1.777,59.83,-0.45,12.37
194,1192,A,26,H,5,75,218.75,88.68,8.69,1.765,55.19,-0.47,9.57
194,1192,A,27,H,2,75,223.75,90.41,14.89,1.835,26.53,0.08,5.59
194,1192,A,27,H,5,75,228.25,86.82,9.29,1.768,33.09,-0.07,5.3
194,1192,A,29,H,2,75,234.25,89.54,7.09,1.825,54.68,-0.27,10.49
194,1192,A,29,H,5,75,238.75,84.34,8.29,1.848,52.89,-0.46,8.73
194,1192,B,10,X,2,75,241.25,88.62,7.29,1.884,57.62,-0.8,12.45
194,1192,B,10,X,5,75,245.25,91.44,6.89,1.868,56.34,-1.01,8.82
194,1192,B,12,X,2,75,260.45,80.21,25.29,1.852,52.93,-1.36,8.83
194,1192,B,12,X,4,16,262.86,66.553,40.29,1.919,53.32,-1.15,7.9
194,1192,B,13,X,CC,16,267.96,86.72,40.29,1.919,52.97,-0.84,7.98
194,1192,B,14,X,CC,11,277.61,84.83,40.29,1.919,52.97,-0.84,7.98
194,1192,B,16,X,1,75,297.55,88.24,8.49,1.88,52.38,-1.46,8.89
194,1192,B,17,X,5,50,312.9,90.2,13.69,2.095,54.92,-1.11,8.33
194,1192,B,19,X,2,75,327.85,68.58,12.09,1.905,49.83,-1.27,6.6
194,1192,B,19,X,3,75,329.35,75,12.29,1.963,49.7,-1.25,7.6
194,1192,B,21,X,2,75,338.45,85.56,9.49,1.988,52.64,-0.73,9.16
